organization,vertical,product,team,date,automation_coverage
Acme,Payments,Checkout,Team Alpha,2026-06-02,70
Acme,Payments,Checkout,Team Alpha,2026-06-16,72
Acme,Payments,Checkout,Team Alpha,2026-06-30,74
Acme,Payments,Checkout,Team Alpha,2026-07-14,76
Acme,Payments,Checkout,Team Alpha,2026-07-28,78
Acme,Payments,Checkout,Team Alpha,2026-08-11,80
Acme,Payments,Checkout,Team Alpha,2026-08-25,82
Acme,Payments,Checkout,Team Beta,2026-06-30,64
Acme,Payments,Checkout,Team Beta,2026-07-14,66
Acme,Payments,Checkout,Team Beta,2026-07-28,68
Acme,Payments,Checkout,Team Beta,2026-08-11,70
Acme,Payments,Checkout,Team Beta,2026-08-25,73
Acme,Travel,Booking,Team Gamma,2026-07-14,81
Acme,Travel,Booking,Team Gamma,2026-07-28,83
Acme,Travel,Booking,Team Gamma,2026-08-11,84
Acme,Travel,Booking,Team Gamma,2026-08-25,86
