organization,vertical,product,module,date,total_lines,coverable_lines,covered_lines
Acme,Payments,Checkout,checkout-api,2026-06-02,14200,11800,8024
Acme,Payments,Checkout,checkout-api,2026-06-16,14400,11950,8365
Acme,Payments,Checkout,checkout-api,2026-06-30,14600,12100,8591
Acme,Payments,Checkout,checkout-api,2026-07-14,14850,12300,8979
Acme,Payments,Checkout,checkout-api,2026-07-28,15100,12500,9250
Acme,Payments,Checkout,checkout-api,2026-08-11,15400,12750,9563
Acme,Payments,Checkout,checkout-api,2026-08-25,15800,13000,9880
Acme,Payments,Checkout,checkout-web,2026-06-02,9800,8200,5248
Acme,Payments,Checkout,checkout-web,2026-06-16,9900,8300,5478
Acme,Payments,Checkout,checkout-web,2026-06-30,10050,8420,5726
Acme,Payments,Checkout,checkout-web,2026-07-14,10200,8550,5985
Acme,Payments,Checkout,checkout-web,2026-07-28,10350,8680,6163
Acme,Payments,Checkout,checkout-web,2026-08-11,10500,8800,6336
Acme,Payments,Checkout,checkout-web,2026-08-25,10700,8950,6534
Acme,Payments,Checkout,payments-core,2026-06-30,18600,15400,10010
Acme,Payments,Checkout,payments-core,2026-07-14,18800,15550,10316
Acme,Payments,Checkout,payments-core,2026-07-28,19000,15700,10676
Acme,Payments,Checkout,payments-core,2026-08-11,19200,15850,10937
Acme,Payments,Checkout,payments-core,2026-08-25,19500,16100,11270
Acme,Travel,Booking,booking-api,2026-07-14,12100,10200,8058
Acme,Travel,Booking,booking-api,2026-07-28,12300,10350,8280
Acme,Travel,Booking,booking-api,2026-08-11,12500,10500,8505
Acme,Travel,Booking,booking-api,2026-08-25,12800,10750,8815
Acme,Travel,Booking,booking-ui,2026-07-14,6400,5400,4104
Acme,Travel,Booking,booking-ui,2026-07-28,6500,5480,4218
Acme,Travel,Booking,booking-ui,2026-08-11,6650,5600,4368
Acme,Travel,Booking,booking-ui,2026-08-25,6800,5720,4519
