organization,vertical,product,module,date,maintainability,security,vulnerability
Acme,Payments,Checkout,checkout-api,2026-06-02,7.6,8.0,7.4
Acme,Payments,Checkout,checkout-api,2026-06-16,7.7,8.1,7.5
Acme,Payments,Checkout,checkout-api,2026-06-30,7.8,8.2,7.6
Acme,Payments,Checkout,checkout-api,2026-07-14,8.0,8.3,7.8
Acme,Payments,Checkout,checkout-api,2026-07-28,8.1,8.4,7.9
Acme,Payments,Checkout,checkout-api,2026-08-11,8.3,8.5,8.1
Acme,Payments,Checkout,checkout-api,2026-08-25,8.4,8.6,8.2
Acme,Payments,Checkout,checkout-web,2026-06-02,7.2,7.6,7.0
Acme,Payments,Checkout,checkout-web,2026-06-16,7.3,7.7,7.1
Acme,Payments,Checkout,checkout-web,2026-06-30,7.4,7.8,7.2
Acme,Payments,Checkout,checkout-web,2026-07-14,7.6,7.9,7.4
Acme,Payments,Checkout,checkout-web,2026-07-28,7.7,8.0,7.5
Acme,Payments,Checkout,checkout-web,2026-08-11,7.8,8.1,7.6
Acme,Payments,Checkout,checkout-web,2026-08-25,8.0,8.2,7.8
Acme,Payments,Checkout,payments-core,2026-06-30,7.0,7.4,6.8
Acme,Payments,Checkout,payments-core,2026-07-14,7.1,7.5,6.9
Acme,Payments,Checkout,payments-core,2026-07-28,7.3,7.6,7.1
Acme,Payments,Checkout,payments-core,2026-08-11,7.4,7.7,7.2
Acme,Payments,Checkout,payments-core,2026-08-25,7.6,7.9,7.4
Acme,Travel,Booking,booking-api,2026-07-14,8.2,8.5,8.0
Acme,Travel,Booking,booking-api,2026-07-28,8.3,8.6,8.1
Acme,Travel,Booking,booking-api,2026-08-11,8.4,8.7,8.2
Acme,Travel,Booking,booking-api,2026-08-25,8.6,8.8,8.4
Acme,Travel,Booking,booking-ui,2026-07-14,8.0,8.2,7.8
Acme,Travel,Booking,booking-ui,2026-07-28,8.1,8.3,7.9
Acme,Travel,Booking,booking-ui,2026-08-11,8.2,8.4,8.0
Acme,Travel,Booking,booking-ui,2026-08-25,8.4,8.5,8.2
