organization,vertical,product,team,sprint,start_date,end_date,team_size,working_days,holiday_days,leave_days,planned_points,completed_points
Acme,Payments,Checkout,Team Alpha,Sprint 18,2026-05-20,2026-06-02,10,10,0,1,40,38
Acme,Payments,Checkout,Team Alpha,Sprint 19,2026-06-03,2026-06-16,10,10,1,3,42,40
Acme,Payments,Checkout,Team Alpha,Sprint 20,2026-06-17,2026-06-30,10,10,0,2,44,41
Acme,Payments,Checkout,Team Alpha,Sprint 21,2026-07-01,2026-07-14,10,10,1,2,45,42
Acme,Payments,Checkout,Team Alpha,Sprint 22,2026-07-15,2026-07-28,10,10,0,1,46,44
Acme,Payments,Checkout,Team Alpha,Sprint 23,2026-07-29,2026-08-11,10,10,0,4,48,45
Acme,Payments,Checkout,Team Alpha,Sprint 24,2026-08-12,2026-08-25,10,10,1,2,50,47
Acme,Payments,Checkout,Team Beta,Sprint 20,2026-06-17,2026-06-30,8,10,0,1,32,30
Acme,Payments,Checkout,Team Beta,Sprint 21,2026-07-01,2026-07-14,8,10,1,2,34,31
Acme,Payments,Checkout,Team Beta,Sprint 22,2026-07-15,2026-07-28,8,10,0,0,36,34
Acme,Payments,Checkout,Team Beta,Sprint 23,2026-07-29,2026-08-11,8,10,0,3,38,35
Acme,Payments,Checkout,Team Beta,Sprint 24,2026-08-12,2026-08-25,8,10,1,1,40,37
Acme,Travel,Booking,Team Gamma,Sprint 21,2026-07-01,2026-07-14,12,10,1,3,52,48
Acme,Travel,Booking,Team Gamma,Sprint 22,2026-07-15,2026-07-28,12,10,0,2,54,51
Acme,Travel,Booking,Team Gamma,Sprint 23,2026-07-29,2026-08-11,12,10,0,4,56,52
Acme,Travel,Booking,Team Gamma,Sprint 24,2026-08-12,2026-08-25,12,10,1,2,58,55
